,airport_code,airport_full_name
561,ELW,Ellamar Airport  Ellamar
562,EFD,Ellington Field Airport  Houston
563,MYU,Ellis Field Airport  Mekoryuk
564,RCA,Ellsworth Afb Airport  Rapid City
565,NDP,"Ellyson NAS Airport  Pensacola, FL"
566,EDF,Elmendorf Afb Airport  Anchorage
567,ELM,"Elmira Corning Regional Airport  Corning, NY"
568,LYU,Ely Airport  Ely
569,EMB,Embarkadero Airport  San Francisco
570,DUT,Emergency Field Airport  Dutch Harbor
571,PLN,Emmet County Airport  Pellston
572,ECA,Emmet County Airport  East Tawas
573,EMK,Emmonak Airport  Emmonak
574,EMP,Emporia Airport  Emporia
575,WDG,Enid Woodring Mun. Airport  Enid
576,EPH,Ephrata Airport  Ephrata
577,OMA,Eppley Airfield Airport  Omaha
578,ERI,Erie International Airport  Erie
579,ERR,Errol Airport  Errol
580,ESF,Esler Field Airport  Alexandria
581,ESO,Espanola Airport  Espanola
582,EUG,Eugene Airport  Eugene
583,UCE,Eunice Airport  Eunice
584,EUE,Eureka Airport  Eureka
585,EVW,Evanston Airport  Evanston
586,EVV,"Evansville Regional Airport  Evansville, IN"
587,EVM,Eveleth Airport  Eveleth
588,UCY,Everett-Stewart Airport  Union City
589,CLW,Executive Airport  Clearwater
590,FXE,Executive Airport  Fort Lauderdale
591,SAC,Executive Airport  Sacramento
592,FAI,Fairbanks International Airport  Fairbanks
593,CLM,Fairchild International Airport  Port Angeles
594,KCK,Fairfax Municipal Airport  Kansas City
595,FRM,Fairmont Airport  Fairmont
596,MSC,Falcon Field Airport  Mesa
597,FAL,Falcon State Airport  Roma
598,FLJ,Falls Bay Airport  Falls Bay
599,INL,Falls International Airport  International Falls
600,FAK,False Island Airport  False Island
601,KFP,False Pass Airport  False Pass
602,IDA,Fanning Field Airport  Idaho Falls
603,FWL,Farewell Airport  Farewell
604,KSR,Federal No 1 Airport  Sandy River
605,FAF,Felker AAF Airport  Fort Eustis
606,SFF,Felts Field Airport  Spokane
607,FFM,Fergus Falls Airport  Fergus Falls
608,FNK,Fin Creek Airport  Fin Creek
609,FDY,Findlay Airport  Findlay
610,FIC,Fire Cove Airport  Fire Cove
611,FCT,Firing Center AAF Airport  Yakima
612,FFA,First Flight Airport  Kill Devil Hills
613,KCG,Fisheries Airport  Chignik
614,FIV,Five Finger Airport  Five Finger Coast Guard Heliport
615,FMC,Five Mile Airport  Five Mile
616,FLT,Flat Airport  Flat
617,FXM,Flaxman Island Airport  Flaxman Island
618,CKM,"Fletcher Field Airport  Clarksdale, MS"
619,FLP,Flippin Airport  Flippin
620,FLO,Florence Airport  Florence
621,FLU,Flushing Airport  New York
622,FCM,Flying Cloud Airport  Minneapolis
623,FLD,Fond Du Lac Airport  Fond Du Lac
624,FOE,"Forbes Field Airport  Topeka, KS"
625,IMT,Ford Airport  Iron Mountain
626,TBN,Forney AAF Airport  Fort Leonard Wood
627,FOB,Fort Bragg Airport  Fort Bragg
628,FBR,Fort Bridger Airport  Fort Bridger
629,QWF,Fort Collins Bus Servi Airport  Fort Collins/Loveland
630,FOD,"Fort Dodge Regional Airport  Fort Dodge, IA"
631,HLR,Fort Hood AAF Airport  Killeen
632,RBN,Fort Jefferson Airport  Fort Jefferson
633,FLL,"Fort Lauderdale/hollywood International Airport  Fort Lauderdale, FL"
634,FLE,Fort Lee AAF Airport  Petersburg
635,CMY,Fort Mccoy Airport  Sparta
636,FSU,Fort Sumner Airport  Fort Sumner
637,AFW,"Fort Worth Alliance Airport  Fort Worth, TX"
638,FWH,"Fort Worth NAS Jrb/Carswell Field Airport  Fort Worth, TX"
639,FYU,Fort Yukon Airport  Fort Yukon
640,FTL,Fortuna Ledge Airport  Fortuna Ledge
641,FOX,Fox Airport  Fox
642,LFN,Franklin Airport  Louisburg
643,UOS,Franklin County Airport  Sewanee
644,FDK,Frederick Municipal Airport  Frederick
645,SER,Freeman Municipal Airport  Seymour
646,RBK,French Valley Airport  Murrieta
647,WFK,Frenchville Airport  Frenchville
648,FRP,Fresh Water Bay Airport  Fresh Water Bay
649,FAT,Fresno Air Terminal Airport  Fresno
650,FCH,Fresno-Chandler Airport  Fresno
651,FRD,Friday Harbor Airport  Friday Harbor
652,FBS,Friday Harbor SPB Airport  Friday Harbor SPB
653,FRR,Front Royal-Warren County Airport  Front Royal
654,FRY,Fryeburg Airport  Fryeburg
655,FBK,Ft Wainwright Airport  Fairbanks
656,CWO,Ft Wolter AAF Airport  Mineral Wells
657,FTY,Fulton County Airport  Atlanta
658,RCR,Fulton County Airport  Rochester
659,AKC,Fulton International Airport  Akron/Canton
660,GAB,Gabbs Airport  Gabbs
661,GAG,Gage Airport  Gage
662,GNV,Gainesville Regional Airport  Gainesville
663,GAK,Gakona Airport  Gakona
664,GBH,Galbraith Lake Airport  Galbraith Lake
665,GAL,Galena Airport  Galena
666,GBG,Galesburg Airport  Galesburg
667,GQQ,Galion Airport  Galion
668,BZN,Gallatin Field Airport  Bozeman
669,JGL,Galleria Heliport Airport  Atlanta
670,GAM,Gambell Airport  Gambell
671,GEK,Ganes Creek Airport  Ganes Creek
672,GCK,"Garden City Municipal Airport  Garden City, KS"
673,PIM,Garden Harris County Airport  Pine Mountain
674,RIL,Garfield County Airport  Rifle
675,UVA,Garner Fld Airport  Uvalde
676,GYY,"Gary/Chicago International Airport  Gary, IN"
677,GKT,Gatlinburg Airport  Gatlinburg
678,LAR,General Brees Field Airport  Laramie
679,MKE,General Mitchell International Airport  Milwaukee
680,IAH,George Bush Intercontinental Airport  Houston
681,AIV,George Downer Airport  Aliceville
682,BXA,George R Carr Airport  Bogalusa
683,GGE,Georgetown Airport  Georgetown
684,GTY,Gettysburg Airport  Gettysburg
685,GIF,Gilbert Field Airport  Winter Haven
686,CJN,Gillespie Field Airport  El Cajon
687,SEE,Gillespie Field Airport  San Diego
688,KGZ,Glacier Creek Airport  Glacier Creek
689,FCA,"Glacier Park International Airport  Kalispell, MT"
690,GDW,Gladwin Airport  Gladwin
691,GGW,Glasgow International Airport  Glasgow
692,GWV,Glendale Airport  Glendale
693,WLW,Glenn County Airport  Willows
694,MTN,Glenn L Martin Airport  Baltimore
695,GLQ,Glennallen Airport  Glennallen
696,GWS,Glenwood Springs Airport  Glenwood Springs
697,BQK,Glynco Jetport Airport  Brunswick
698,FTK,Godman AAF Airport  Fort Knox
699,IWD,Gogebic County Airport  Ironwood
700,GDH,"Golden Horn Lodge SPB Airport  Golden Horn Lodge, Alaska"
701,GTR,Golden Triangle Reg. Airport  Columbus
702,GLV,Golovin Airport  Golovin
703,GOF,Goodfellow AFB Airport  San Angelo
704,GNG,Gooding Airport  Gooding
705,GNU,Goodnews Bay Airport  Goodnews Bay
706,ELD,Goodwin Field Airport  El Dorado
707,GRN,Gordon Airport  Gordon
708,GSH,Goshen Airport  Goshen
709,RDR,Grand Forks AFB Airport  Red River
710,GFK,Grand Forks Airport  Grand Forks
711,GRI,"Grand Island Airport  Grand Island, NE"
712,GPZ,Grand Rapids Airport  Grand Rapids
713,CRE,Grand Strand Airport  Myrtle Beach
714,GMT,Granite Mountain Airport  Granite Mountain
715,MWH,Grant County Airport  Moses Lake
716,PGC,Grant County Airport  Petersburg
717,SVC,Grant County Airport  Silver City
718,AMN,Gratiot Community Airport  Alma
719,GRK,"Gray Aaf Airport  Fort Hood, TX"
720,GRF,Gray Aaf Airport  Tacoma
721,KGX,Grayling Airport  Grayling
722,PNX,Grayson County Airport  Sherman-Denison
723,GBD,Great Bend Airport  Great Bend
724,GTF,Great Falls International Airport  Great Falls
725,BGM,"Greater Binghamton Airport  Binghamton, NY"
726,IKK,Greater Kankakee Airport  Kankakee
727,PIA,"Greater Peoria Airport  Peoria, IL"
728,PMH,"Greater Portsmouth Regional Airport  Portsmouth, OH"
729,ROC,"Greater Rochester International Airport  Rochester, NY"
730,RFD,Greater Rockford Airport  Rockford
731,ILG,Greater Wilmington Airport  Wilmington
732,OTN,Green Airport  Oaktown
733,RVR,Green River Airport  Green River
734,SSU,Greenbrier Airport  White Sulphur Springs
735,LWB,Greenbrier Valley Airport  Lewisburg
736,WAY,Greene County Airport  Waynesburg
737,GLH,Greenville Airport  Greenville
738,GMU,Greenville Downtown Airport  Greenville
739,GSP,Greenville Spartanbur Int'l Airport  Greenville
740,GRD,Greenwood Airport  Greenwood
741,PBF,Grider Field Airport  Pine Bluff
742,SKY,Griffing Sandusky Airport  Sandusky
743,RME,"Griffiss AFB Airport  Rome, NY"
744,GUS,"Grissom Afb Airport  Peru, Indiana"
745,MPE,Griswold Airport  Madison
746,BPA,Grumman Airport  Bethpage
747,GPT,Gulfport-Biloxi International Airport  Gulfport
748,GKN,Gulkana Airport  Gulkana
749,GUC,Gunnison Airport  Gunnison
750,GUN,Gunter AFB Airport  Montgomery
751,GST,Gustavus Arpt Airport  Gustavus
752,GOK,Guthrie Airport  Guthrie
753,GUY,Guymon Airport  Guymon
754,LZU,Gwinnett County Airport  Lawrenceville
755,JBS,Hacienda Bus.Park H/P Airport  Pleasanton
756,PVW,Hale County Airport  Plainview
757,FSN,Haley AAF Airport  Fort Sheridan
758,HAF,Half Moon Airport  Half Moon
759,RZZ,Halifax County Airport  Roanoke Rapids
760,DUC,Halliburton Field Airport  Duncan
761,HAO,Hamilton Airport  Hamilton
762,SRF,Hamilton Field Airport  San Rafael
763,HNM,Hana Airport  Hana
764,HEY,Hanchey Army Heliport Airport  Ozark
765,HVE,Hanksville Airport  Hanksville
766,BED,Hanscom Field Airport  Bedford/Hanscom
767,HEZ,Hardy-Anders Airport  Natchez
768,CDH,Harrell Fld Airport  Camden
769,LWL,Harriet Field Airport  Wells
770,MDT,"Harrisburg International Airport  Harrisburg, PA"
771,PHD,Harry Clever Airport  New Philadelphia
772,ATL,"Hartsfield-jackson Atlanta International Airport  Atlanta, GA"
773,HSI,Hastings Airport  Hastings
774,HAX,Hatbox Field Airport  Muskogee
775,HNC,Hatteras Airport  Hatteras
776,PIB,"Hattiesburg-Laurel Regional Airport  Hattiesburg/Laurel, MS"
777,HAE,Havasupai Airport  Havasupai
778,HKS,Hawkins Field Airport  Jackson
779,HHR,Hawthorne Airport  Hawthorne
780,HTH,Hawthorne Airport  Hawthorne
781,HAY,Haycock Airport  Haycock
782,HWD,Hayward Airport  Hayward
783,HZL,Hazleton Airport  Hazleton
784,HKB,Healy Lake Airport  Healy Lake
785,FAR,Hector Field Airport  Fargo
786,HLN,Helena Airport  Helena
787,JDY,Heliport Airport  Downey
788,JEM,Heliport Airport  Emeryville
789,JGX,Heliport Airport  Glendale
790,JGC,Heliport Airport  Grand Canyon
791,JLB,Heliport Airport  Long Beach
792,JNP,Heliport Airport  Newport Beach
793,ORQ,Heliport Airport  Norwalk
794,JPD,Heliport Airport  Pasadena
795,JIO,Heliport International Airport  Ontario
796,HSH,Henderson Sky Harbor Airport  Las Vegas
797,0A7,Hendersonville Airport  Hendersonville
798,PHT,Henry County Airport  Paris
799,FSI,Henry Post AAF Airport  Fort Sill
800,TMA,"Henry Tift Myers Airport  Tifton, GA"
801,HED,Herendeen Airport  Herendeen
802,LUL,"Hesler-Noble Field Airport  Laurel, MS"
803,HIK,Hickam AFB Airport  Honolulu
804,HKY,Hickory Airport  Hickory
805,HDA,Hidden Falls Airport  Hidden Falls
806,HIF,Hill Afb Airport  Ogden
807,HLC,Hill City Airport  Hill City
808,HLB,Hillenbrand Airport  Batesville
809,ITO,Hilo International Airport  Hilo
810,HHH,Hilton Head Airport  Hilton Head
811,WHH,Hiltons Har H Airport  Boulder
812,BZT,Hinkles Ferry Airport  Brazoria
813,HBR,"Hobart Airport  Hobart, OK"
814,HBH,Hobart Bay Airport  Hobart Bay
815,HBB,Hobbs Industrial Airpark Airport  Hobbs
816,HGZ,Hogatza Airport  Hogatza
817,HOL,Holikachu Airport  Holikachu
818,HLI,Hollister Airport  Hollister
819,HMN,Holloman AFB Airport  Alamogordo
820,HCR,Holy Cross Airport  Holy Cross
821,HOM,Homer Airport  Homer
822,HMS,Homeshore Airport  Homeshore AK
823,HNL,Honolulu International Airport  Honolulu
824,MWO,"Hook Field Airport  Middletown, Ohio"
825,HNH,Hoonah Airport  Hoonah
826,HPB,Hooper Bay Airport  Hooper Bay
827,CLE,Hopkins International Airport  Cleveland
828,RAC,Horlick Airport  Racine
829,THP,Hot Springs Airport  Thermopolis
830,KBE,Hot Springs SPB Airport  Bell Island
831,CMX,Houghton County Airport  Hancock
832,HUL,Houlton International Airport  Houlton
833,HCA,Howard County Airport  Big Spring
834,HON,Howes Airport  Huron
835,CVR,Hughes Airport  Culver City
836,HUJ,Hugo Airport  Hugo
837,HUF,Hulman Field Airport  Terre Haute
838,HUD,Humboldt Airport  Humboldt
839,LND,Hunt Field Airport  Lander
840,HGT,Hunter AAF Airport  Jolon
841,SVN,"Hunter AAF Airport  Savannah, GA"
842,HSV,"Huntsville International - Carl T. Jones Field Airport  Huntsville, AL"
843,HSL,Huslia Airport  Huslia
844,HUT,Hutchinson Airport  Hutchinson
845,JHY,Hyatt Regency H/P Airport  Cambridge
846,DEO,Hyatt Regency H/P Airport  Dearborn
847,ICY,Icy Bay Airport  Icy Bay
848,IGG,Igiugig Airport  Igiugig
849,BDR,Igor I. Sikorsky Mem. Airport  Bridgeport
850,ILI,Iliamna Airport  Iliamna
851,VYS,Illinois Valley Regnl Airport  Peru
852,IMM,Immokalee Airport  Immokalee
853,IML,Imperial Airport  Imperial
854,IPL,Imperial County Airport  Imperial
855,IDP,Independence Airport  Independence
856,UTO,Indian Mountain AFS Airport  Utopia Creek
857,IDI,"Indiana County Airport  Indiana, PA"
858,IND,"Indianapolis International Airport  Indianapolis, IN"
859,HSP,Ingalls Field Airport  Hot Springs
860,IOW,"Iowa City Airport  Iowa City, IA"
861,IFA,Iowa Falls Airport  Iowa Falls
862,ISL,Isabel Pass Airport  Isabel Pass
863,JHC,Island Heliport Airport  Garden City
864,IVH,Ivishak Airport  Ivishak
865,VLE,J t Robidoux Airport  Valle
866,KPT,Jackpot Airport  Jackpot
867,MJQ,Jackson Airport  Jackson
868,JAC,Jackson Hole Airport  Jackson
869,JAN,Jackson-evers Airport  Jackson
870,JAX,"Jacksonville Airport  Jacksonville, FL"
871,JAR,Jahrom Airport  Jahrom
872,DAY,"James Cox Dayton International Airport  Dayton, Oh"
873,JMS,Jamestown Airport  Jamestown
874,JHW,Jamestown Airport  Jamestown
875,BJC,Jeffco Airport  Broomfield
876,BPT,Jefferson County Airport  Beaumont
877,MDN,Jefferson Proving Grd Airport  Madison
878,NLE,Jerry Tyler Memorial Airport  Niles
879,PWM,Jetport International Airport  Portland
880,FSD,Joe Foss Field Airport  Sioux Falls
881,JDA,John Day Airport  John Day
882,JFK,John F Kennedy International Airport  New York
883,SNA,"John Wayne Airport  Santa Ana, CA"
884,JCY,Johnson Airport  Johnson
885,OJC,Johnson Executive Airport  Kansas City
886,JBR,Jonesboro Airport  Jonesboro
887,JLN,"Joplin Regional Airport  Joplin, MO"
888,JDN,Jordan Airport  Jordan
889,TWF,"Joslin Field - Magic Valley Regional Airport  Twin Falls, ID"
890,OGG,"Kahului Airport  Maui, HI"
891,KNK,Kakhonak Airport  Kakhonak
892,KKK,Kalakaket AFS Airport  Kalakaket
893,AZO,Kalamazoo/Battle Creek international Airport  Kalamazoo
894,LUP,Kalaupapa Airport  Kalaupapa
895,KAL,Kaltag Airport  Kaltag
896,MUE,Kamuela Airport  Kamuela
897,KUY,Kamusi Airport  Kamusi
898,KNB,Kanab Airport  Kanab
899,MCI,Kansas City International Airport  Kansas City
900,JHM,Kapalua West Maui Airport  Lahaina
901,KYK,Karluk Airport  Karluk
902,KKL,Karluk Lake SPB Airport  Karluk Lake
903,KXA,Kasaan SPB Airport  Kasaan
904,KUK,Kasigluk Airport  Kasigluk
905,VIK,Kavik Airport  Kavik
906,EAR,Kearney Airport  Kearney
907,BIX,Keesler AFB Airport  Biloxi
908,CKA,Kegelman Af Airport  Cherokee
909,SKF,Kelly AFB Airport  San Antonio
910,KEU,Kelly Bar Airport  Kelly Bar
911,KLP,Kelp Bay Airport  Kelp Bay
912,EMM,Kemerer Airport  Kemerer
913,ENA,Kenai Airport  Kenai
914,KEH,Kenmore Air Harbor Airport  Kenmore Air Harbor
915,LKE,"Kenmore Air Harbor SPB Airport  Seattle, WA"
916,ENW,Kenosha Regional Airport  Kenosha
917,GRR,Kent County International Airport  Grand Rapids
918,KKT,Kentland Airport  Kentland
919,EOK,Keokuk Airport  Keokuk
920,IYK,Kern County Airport  Inyokern
921,MHV,Kern County Airport  Mojave
922,MIT,Kern County Airport  Shafter
923,TSP,"Kern County Airport  Tehachapi, CA"
924,ERV,Kerrville Airport  Kerrville
925,KTN,Ketchikan International Airport  Ketchikan
926,MEI,Key Field Airport  Meridian
927,EYW,Key West International Airport  Key West
928,KIP,Kickapoo Airport  Wichita Falls
929,GGG,Kilgore Airport  Kilgore
930,JCT,Kimble County Airport  Junction
931,INR,Kincheloe AFB Airport  Sault Ste Marie
932,KVC,King Cove Airport  King Cove
933,KPD,King Of Prussia Airport  King Of Prussia
934,AKN,King Salmon Airport  King Salmon
935,IGM,Kingman Airport  Kingman
936,LMT,Kingsley Field Airport  Klamath Falls
937,KPN,Kipnuk SPB Airport  Kipnuk
938,IRS,Kirsch Municipal Airport  Sturgis
939,ISM,Kissimmee Gateway Airport  Kissimmee
940,KVL,Kivalina Airport  Kivalina
941,KZH,Kizhuyak Airport  Kizhuyak
942,KBK,Klag Bay Airport  Klag Bay
943,KLW,Klawock Airport  Klawock
944,RKD,Knox County Regional Airport  Rockland
945,OBU,Kobuk/Wien Airport  Kobuk
946,ADQ,Kodiak Airport  Kodiak
947,WDY,Kodiak Fss Airport  Kodiak
948,OKK,Kokomo Airport  Kokomo
949,KOA,"Kona International Airport  Kona, HI"
950,KKH,Kongiganak Airport  Kongiganak
951,KOT,Kotlik Airport  Kotlik
952,OTZ,Kotzebue Airport  Kotzebue
953,KKA,Koyuk Airport  Koyuk
954,KYU,Koyukuk Airport  Koyukuk
955,LKK,Kulik Lake Airport  Kulik Lake
956,UUK,Kuparuk Airport  Kuparuk
957,KWT,Kwethluk Airport  Kwethluk
958,KWK,Kwigillingok Airport  Kwigillingok
959,KWN,Kwinhagak Airport  Quinhagak
960,LGD,La Grande Airport  La Grande
961,LGA,La Guardia Airport  New York
962,PMD,"La Palmdale Regional Airport  Palmdale, CA"
963,DRO,La Plata Airport  Durango
964,WLB,Labouchere Bay Airport  Labouchere Bay
965,LFT,"Lafayette Regional Airport  Lafayette, LA"
966,KCL,Lagoon Airport  Chignik
967,LGF,Laguna AAF Airport  Yuma
968,MFD,Lahm Municipal Airport  Mansfield
969,BKF,Lake Brooks SPB Airport  Katmai National Park
970,LKV,Lake County Airport  Lakeview
971,LMA,Lake Minchumina Airport  Lake Minchumina
972,LKP,Lake Placid Airport  Lake Placid
973,NEW,Lakefront Airport  New Orleans
974,LKS,Lakeside Airport  Lakeside
975,LKI,Lakeside USAF Airport  Duluth
976,LAA,Lamar Field Airport  Lamar
977,STL,Lambert-St. Louis International Airport  St Louis
978,LNY,Lanai City Airport  Lanai City
979,LNS,Lancaster Airport  Lancaster
980,BAM,Lander County Airport  Battle Mountain
981,EVA,Landing Strip Airport  Evadale
982,LFI,Langley AFB Airport  Hampton
983,LRD,Laredo International Airport  Laredo
984,KLN,Larsen SPB Airport  Larsen Bay
985,TAD,Las Animas Airport  Trinidad
986,LVS,Las Vegas Airport  Las Vegas
987,LTH,Lathrop Wells Airport  Lathrop Wells
988,DLF,Laughlin Afb Airport  Del Rio
989,IFP,Laughlin Bullhead International Airport  Bullhead City
990,LWC,Lawrence Airport  Lawrence
991,LWM,Lawrence Airport  Lawrence
992,HTW,Lawrence County Airpark Airport  Chesapeake/Huntington Wv
993,MWC,Lawrence J Timmerman Airport  Milwaukee
994,LVL,Lawrenceville Airport  Lawrenceville
995,LSF,Lawson Aaf Airport  Columbus
996,HOB,Lea County Airport  Hobbs
997,LXV,Leadville Airport  Leadville
998,SLO,Leckrone Airport  Salem
999,ANP,Lee Airport  Annapolis
1000,LBF,Lee Bird Field Airport  North Platte
1001,AIZ,Lee C Fine Memorial Airport  Kaiser/Lake Ozark
1002,GVL,Lee Gilmer Memorial Airport  Gainesville
1003,LEE,Leesburg Airport  Leesburg
1004,GWO,Leflore Airport  Greenwood
1005,ABE,Lehigh Valley International Airport  Allentown
1006,LEM,Lemmon Airport  Lemmon
1007,TUP,Lemons Municipal Airport  Tupelo
1008,NLC,"Lemoore NAS Airport  Lemoore, CA"
1009,ADG,Lenawee County Airport  Adrian
1010,MRN,Lenoir Airport  Morganton
1011,KLL,Levelock Airport  Levelock
1012,CDK,Lewis Airport  Cedar Key
1013,MCN,Lewis B Wilson Airport  Macon
1014,LOT,Lewis Lockport Airport  Lockport
1015,LXN,Lexington Airport  Lexington
1016,LIH,Lihue Airport  Kauai Island
1017,LVD,Lime Village Airport  Lime Village
1018,LNK,"Lincoln Airport  Lincoln, NE"
1019,LHM,"Lincoln Regional Airport  Lincoln, CA"
1020,LDJ,Linden Airport  Linden
1021,GYR,Litchfield Airport  Goodyear
1022,WLN,Little Naukati Airport  Little Naukati
1023,LPW,Little Port Walter Airport  Little Port Walter
1024,LRF,Little Rock Afb Airport  Jacksonville
1025,LIV,"Livengood Airport  Livengood, AK"
1026,LVK,Livermore Airport  Livermore
1027,BOS,Logan International Airport  Boston
1028,LPC,Lompoc Airport  Lompoc
1029,LGB,Long Beach Municipal Airport  Long Beach
1030,LIJ,Long Island Airport  Long Island
1031,ISP,"Long Island Mac Arthur Airport  Islip, NY"
1032,KLS,Longview Airport  Kelso
1033,LOG,Longview Airport  Longview
1034,LPS,Lopez Island Airport  Lopez Island
1035,LSB,Lordsburg Airport  Lordsburg
1036,LIZ,Loring AFB Airport  Limestone
1037,WLR,Loring Airport  Loring
1038,LAM,Los Alamos Airport  Los Alamos
1039,LAX,Los Angeles International Airport  Los Angeles
1040,LSN,Los Banos Airport  Los Banos
1041,LHB,Lost Harbor Sea Port Airport  Lost Harbor
1042,LNN,Lost Nation Airport  Willoughby
1043,LSR,Lost River Airport  Lost River
1044,MSY,Louis Armstrong New Orléans International Airport  New Orleans
1045,SDF,"Louisville International Airport  Louisville, KY"
1046,DAL,Love Field Airport  Dallas
1047,CHA,"Lovell Field Airport  Chattanooga,  TN"
1048,LOR,Lowe Army Heliport Airport  Ozark
1049,UBS,Lowndes County Airport  Columbus
1050,LBB,Lubbock International Airport  Lubbock
1051,LFK,"Lufkin Angelina County Airport  Lufkin, TX"
1052,LUF,Luke Afb Airport  Phoenix
1053,LBT,Lumberton Airport  Lumberton
1054,IPT,Lycoming County Airport  Williamsport
1055,LLX,Lyndonville Airport  Lyndonville
1056,PLK,M Graham Clark Airport  Branson/point Lookout
1057,MCF,Mac Dill AFB Airport  Tampa
1058,RMC,Machesney Airport  Rockford
1059,HFF,Mackall AAF Airport  Hoffman
1060,MCD,Mackinac Island Airport  Mackinac Island
1061,MAE,Madera Airport  Madera
1062,XMD,Madison Airport  Madison
1063,GVT,Majors Field Airport  Greenville
1064,MLD,Malad City Airport  Malad City
1065,MAW,Malden Airport  Malden
1066,GFA,Malmstrom AFB Airport  Great Falls
1067,MLK,Malta Airport  Malta
1068,MMH,Mammoth Lakes Airport  Mammoth Lakes
1069,MNZ,Manassas Airport  Manassas
1070,MHT,"Manchester-boston Regional Airport  Manchester, NH"
1071,MLY,Manley Hot Springs Airport  Manley Hot Springs
1072,KMO,Manokotak SPB Airport  Manokotak
1073,NTJ,Manti-Ephraim Airport  Manti
1074,MZJ,Marana Airport  Marana
1075,MTH,Marathon Flight Strip Airport  Marathon
1076,MYH,Marble Canyon Airport  Marble Canyon
1077,RIV,March ARB Airport  Riverside
1078,MRK,Marco Island Airport  Marco Island
1079,RTE,Marguerite Bay Airport  Marguerite Bay
1080,JMC,"Marin County Airport  Sausalito, CA"
1081,OAR,"Marina Municipal Airport  Marina, CA"
1082,QNY,Marine Air Terminal Airport  New York
1083,MZZ,Marion Airport  Marion
1084,HAB,Marion County Airport  Hamilton
1085,APT,Marion County Airport  Jasper
1086,JMD,Market Centre H/P Airport  Dallas
1087,MXG,Marlborough Airport  Marlborough
1088,JMH,Marriott Heliport Airport  Schaumburg
1089,FRI,"Marshall AAF Airport  Fort Riley, KS"
1090,MLL,Marshall Airport  Marshall
1091,CNU,Martin Johnson Airport  Chanute
1092,MDA,"Martindale Army Heliport Airport  San Antonio, TX"
1093,AOO,Martinsburg Airport  Martinsburg
1094,MCW,"Mason City Municipal Airport  Mason City, IA"
1095,LDM,Mason County Airport  Ludington
1096,SJT,Mathis Fld Airport  San Angelo
1097,MRC,Maury County Airport  Columbia
1098,EGP,Maverick Co Airport  Eagle Pass
1099,OUN,Max Westheimer Airport  Norman
1100,MXE,Maxton Airport  Maxton
1101,MYK,May Creek Airport  May Creek
1102,MBS,MBS International Airport  Saginaw
1103,MLC,Mc Alester Airport  Mc Alester
1104,MFE,"Mc Allen Miller International Airport  Mc Allen, TX"
1105,LAS,Mc Carran International Airport  Las Vegas
1106,CLD,"Mc Clellan-Palomar Airport  Carlsbad, CA"
1107,MMT,Mc Entire ANG Base Airport  Columbia
1108,TYS,Mc Ghee Tyson Airport  Knoxville
1109,WRI,"Mc Guire Afb Airport  Wrightstown, New Jersey"
1110,MKL,Mc Kellar-Sipes Regional Airport  Jackson
1111,CEC,Mc Namara Fld Airport  Crescent City
1112,MYL,Mccall Airport  Mccall
